Bloodstained Mire,Bloodstained Mire,Bloodstained Mire,Bloodstained Mire,Concealed Courtyard,Concealed Courtyard,Concealed Courtyard,Concealed Courtyard,Godless Shrine,Mutavault,Mutavault,Mutavault,Mutavault,Swamp,Swamp,Swamp,Swamp,Swamp,Swamp,Swamp,"Urborg, Tomb of Yawgmoth","Urborg, Tomb of Yawgmoth","Urborg, Tomb of Yawgmoth","Urborg, Tomb of Yawgmoth",Blackmail,Dismember,Dismember,Fatal Push,Fatal Push,Fatal Push,Funeral Charm,Funeral Charm,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Raven\'s Crime,Raven\'s Crime,Raven\'s Crime,Smallpox,Smallpox,Smallpox,Smallpox,Thoughtseize,Thoughtseize,Wrench Mind,Wrench Mind,Wrench Mind,Ensnaring Bridge,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,Shrieking Affliction,Shrieking Affliction,Shrieking Affliction,Shrieking Affliction,The Rack,The Rack,The Rack
Forest,Forest,Forest,Forest,Forest,Forest,Forest,Kessig Wolf Run,Misty Rainforest,Mountain,Stomping Ground,Stomping Ground,Stomping Ground,Windswept Heath,Windswept Heath,Windswept Heath,Windswept Heath,Wooded Foothills,Wooded Foothills,Wooded Foothills,Wooded Foothills,Arbor Elf,Arbor Elf,Arbor Elf,Arbor Elf,Birds of Paradise,Birds of Paradise,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Courser of Kruphix,Inferno Titan,Inferno Titan,Inferno Titan,Pia and Kiran Nalaar,Pia and Kiran Nalaar,Tireless Tracker,Tireless Tracker,Tireless Tracker,Tireless Tracker,Lightning Bolt,Lightning Bolt,Molten Rain,Molten Rain,Molten Rain,Stone Rain,Stone Rain,Stone Rain,Stone Rain,Blood Moon,Blood Moon,Blood Moon,Blood Moon,"Chandra, Torch of Defiance","Nissa, Voice of Zendikar",Utopia Sprawl,Utopia Sprawl,Utopia Sprawl,Utopia Sprawl
Forest,Forest,Forest,Forest,Forest,Forest,Forest,Kessig Wolf Run,Misty Rainforest,Misty Rainforest,Mountain,Stomping Ground,Stomping Ground,Stomping Ground,Windswept Heath,Windswept Heath,Windswept Heath,Wooded Foothills,Wooded Foothills,Wooded Foothills,Wooded Foothills,Arbor Elf,Arbor Elf,Arbor Elf,Arbor Elf,Birds of Paradise,Birds of Paradise,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Courser of Kruphix,Inferno Titan,Inferno Titan,Inferno Titan,Pia and Kiran Nalaar,Pia and Kiran Nalaar,Tireless Tracker,Tireless Tracker,Tireless Tracker,Tireless Tracker,Lightning Bolt,Lightning Bolt,Molten Rain,Molten Rain,Molten Rain,Stone Rain,Stone Rain,Stone Rain,Stone Rain,Blood Moon,Blood Moon,Blood Moon,Blood Moon,"Chandra, Torch of Defiance","Nissa, Voice of Zendikar",Utopia Sprawl,Utopia Sprawl,Utopia Sprawl,Utopia Sprawl
Island,Island,Island,Mountain,Shivan Reef,Shivan Reef,Shivan Reef,Shivan Reef,Snow-Covered Island,Spirebluff Canal,Spirebluff Canal,Spirebluff Canal,Spirebluff Canal,Steam Vents,Steam Vents,Steam Vents,Steam Vents,"Baral, Chief of Compliance","Baral, Chief of Compliance","Baral, Chief of Compliance","Baral, Chief of Compliance",Goblin Electromancer,Goblin Electromancer,Desperate Ritual,Desperate Ritual,Desperate Ritual,Desperate Ritual,Gifts Ungiven,Gifts Ungiven,Gifts Ungiven,Gifts Ungiven,Grapeshot,Grapeshot,Grapeshot,Lightning Bolt,Manamorphose,Manamorphose,Manamorphose,Manamorphose,Noxious Revival,Opt,Opt,Past in Flames,Past in Flames,Pyretic Ritual,Pyretic Ritual,Pyretic Ritual,Pyretic Ritual,Remand,Remand,Remand,Repeal,Serum Visions,Serum Visions,Serum Visions,Serum Visions,Sleight of Hand,Sleight of Hand,Sleight of Hand,Sleight of Hand
Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blackcleave Cliffs,Blood Crypt,Bloodstained Mire,Bloodstained Mire,Bloodstained Mire,Forest,Forest,Overgrown Tomb,Overgrown Tomb,Raging Ravine,Raging Ravine,Raging Ravine,Stomping Ground,Swamp,Swamp,Treetop Village,Twilight Mire,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Verdant Catacombs,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Bloodbraid Elf,Dark Confidant,Dark Confidant,Dark Confidant,Dark Confidant,Scavenging Ooze,Scavenging Ooze,Tarmogoyf,Tarmogoyf,Tarmogoyf,Tarmogoyf,Tireless Tracker,Abrupt Decay,Fatal Push,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Inquisition of Kozilek,Kolaghan\'s Command,Kolaghan\'s Command,Lightning Bolt,Lightning Bolt,Lightning Bolt,Lightning Bolt,Maelstrom Pulse,Terminate,Thoughtseize,Thoughtseize,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,Liliana of the Veil,"Liliana, the Last Hope"
Forest,Forest,Forest,Forest,Forest,Ghost Quarter,Sanctum of Ugin,Urza\'s Mine,Urza\'s Mine,Urza\'s Mine,Urza\'s Mine,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Tower,Urza\'s Tower,Urza\'s Tower,Urza\'s Tower,"Ulamog, the Ceaseless Hunger","Ulamog, the Ceaseless Hunger",Walking Ballista,Walking Ballista,Walking Ballista,Walking Ballista,World Breaker,Wurmcoil Engine,Wurmcoil Engine,Ancient Stirrings,Ancient Stirrings,Ancient Stirrings,Ancient Stirrings,Dismember,Dismember,Sylvan Scrying,Sylvan Scrying,Sylvan Scrying,Sylvan Scrying,Chromatic Sphere,Chromatic Sphere,Chromatic Sphere,Chromatic Sphere,Chromatic Star,Chromatic Star,Chromatic Star,Chromatic Star,Expedition Map,Expedition Map,Expedition Map,Expedition Map,Karn Liberated,Karn Liberated,Karn Liberated,Karn Liberated,Oblivion Stone,Oblivion Stone,Oblivion Stone,Oblivion Stone,"Ugin, the Spirit Dragon","Ugin, the Spirit Dragon"
Aether Hub,Boros Garrison,Botanical Sanctum,Cavern of Souls,Forest,Forest,Gemstone Mine,Gemstone Mine,Gemstone Mine,Gemstone Mine,Gruul Turf,Gruul Turf,Khalni Garden,Radiant Fountain,Selesnya Sanctuary,Selesnya Sanctuary,Simic Growth Chamber,Simic Growth Chamber,Simic Growth Chamber,Simic Growth Chamber,Slayers\' Stronghold,"Sunhome, Fortress of the Legion",Temple of Mystery,Tolaria West,Tolaria West,Tolaria West,Vesuva,"Azusa, Lost but Seeking","Azusa, Lost but Seeking",Courser of Kruphix,Courser of Kruphix,Primeval Titan,Primeval Titan,Primeval Titan,Primeval Titan,Sakura-Tribe Scout,Sakura-Tribe Scout,Sakura-Tribe Scout,Sakura-Tribe Scout,Tireless Tracker,Tireless Tracker,Walking Ballista,Explore,Explore,Explore,Explore,Pact of Negation,Serum Visions,Serum Visions,Serum Visions,Serum Visions,Summoner\'s Pact,Summoner\'s Pact,Summoner\'s Pact,Summoner\'s Pact,Amulet of Vigor,Amulet of Vigor,Amulet of Vigor,Amulet of Vigor,Engineered Explosives
Cavern of Souls,Cavern of Souls,Eldrazi Temple,Eldrazi Temple,Eldrazi Temple,Eldrazi Temple,Ghost Quarter,Ghost Quarter,Ghost Quarter,Urza\'s Mine,Urza\'s Mine,Urza\'s Mine,Urza\'s Mine,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Power Plant,Urza\'s Tower,Urza\'s Tower,Urza\'s Tower,Urza\'s Tower,Wastes,Wastes,Wastes,Endbringer,Endbringer,Endbringer,Endbringer,Matter Reshaper,Matter Reshaper,Matter Reshaper,Matter Reshaper,Reality Smasher,Reality Smasher,Reality Smasher,Reality Smasher,Thought-Knot Seer,Thought-Knot Seer,Thought-Knot Seer,Thought-Knot Seer,"Ulamog, the Ceaseless Hunger",Walking Ballista,Walking Ballista,Walking Ballista,Walking Ballista,Wurmcoil Engine,All Is Dust,All Is Dust,Dismember,Dismember,Warping Wail,Warping Wail,Chalice of the Void,Chalice of the Void,Chalice of the Void,Chalice of the Void,Expedition Map,Expedition Map,Expedition Map,Expedition Map
Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Blinkmoth Nexus,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Darksteel Citadel,Glimmervoid,Glimmervoid,Glimmervoid,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Inkmoth Nexus,Island,Mountain,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Arcbound Ravager,Etched Champion,Etched Champion,Etched Champion,Master of Etherium,Master of Etherium,Memnite,Memnite,Ornithopter,Ornithopter,Ornithopter,Ornithopter,Signal Pest,Signal Pest,Signal Pest,Signal Pest,Steel Overseer,Steel Overseer,Steel Overseer,Steel Overseer,Vault Skirge,Vault Skirge,Vault Skirge,Vault Skirge,Galvanic Blast,Galvanic Blast,Galvanic Blast,Galvanic Blast,Cranial Plating,Cranial Plating,Cranial Plating,Cranial Plating,Mox Opal,Mox Opal,Mox Opal,Mox Opal,Springleaf Drum,Springleaf Drum,Springleaf Drum,Springleaf Drum
Cinder Glade,Cinder Glade,Cinder Glade,Forest,Forest,Forest,Mountain,Mountain,Mountain,Mountain,Mountain,Mountain,Stomping Ground,Stomping Ground,Stomping Ground,Stomping Ground,"Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle","Valakut, the Molten Pinnacle",Windswept Heath,Windswept Heath,Windswept Heath,Wooded Foothills,Wooded Foothills,Wooded Foothills,Wooded Foothills,Pia and Kiran Nalaar,Primeval Titan,Primeval Titan,Primeval Titan,Primeval Titan,Sakura-Tribe Elder,Sakura-Tribe Elder,Sakura-Tribe Elder,Sakura-Tribe Elder,Thragtusk,Wood Elves,Anger of the Gods,Explore,Explore,Farseek,Farseek,Farseek,Lightning Bolt,Lightning Bolt,Lightning Bolt,Scapeshift,Scapeshift,Scapeshift,Scapeshift,Search for Tomorrow,Search for Tomorrow,Search for Tomorrow,Search for Tomorrow,Summoner\'s Pact,Summoner\'s Pact,Sweltering Suns,Prismatic Omen,Relic of Progenitus
